Location,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Sub-saharan africa,376.6484412,363.9231118,356.1043916,350.533196,346.2410018,342.769566,339.8670854,337.3808949,335.2117227,333.2915333,331.5717491,330.0165266,328.5986953,327.2971892,326.0953599,324.9798324,323.9397066,322.9659875,322.0511693,321.1889274,320.3738843,319.6014321,318.8675929,318.1689107,317.5023644,316.8652985,316.2553671,315.6704881,315.1088053,314.5686571,314.0485509,313.5471407,313.063209,312.5956509,312.1434612,311.7057222,311.2815945,310.8703082,310.4711556,310.0834847,309.7066934,309.3402251,308.9835635,308.6362297,308.2977779,307.9677931,307.645888,307.3317007,307.0248926,306.7251464,306.4321644,306.1456669,305.8653908,305.5910885,305.3225264,305.0594842,304.8017535,304.5491375,304.3014498,304.0585137,303.8201619,303.5862351,303.3565825,303.1310605,302.9095323,302.6918678,302.4779431,302.2676399,302.0608453,301.8574514,301.6573554
Other eurasia,401.2384516,388.5131222,380.694402,375.1232065,370.8310122,367.3595764,364.4570958,361.9709054,359.8017331,357.8815437,356.1617595,354.6065371,353.1887058,351.8871996,350.6853704,349.5698429,348.5297171,347.5559979,346.6411798,345.7789378,344.9638948,344.1914425,343.4576034,342.7589212,342.0923748,341.4553089,340.8453776,340.2604986,339.6988157,339.1586676,338.6385613,338.1371511,337.6532194,337.1856614,336.7334716,336.2957326,335.8716049,335.4603186,335.061166,334.6734951,334.2967039,333.9302355,333.573574,333.2262401,332.8877883,332.5578035,332.2358984,331.9217111,331.614903,331.3151568,331.0221748,330.7356773,330.4554013,330.181099,329.9125369,329.6494946,329.3917639,329.139148,328.8914602,328.6485242,328.4101723,328.1762456,327.946593,327.7210709,327.4995427,327.2818783,327.0679536,326.8576503,326.6508557,326.4474619,326.2473659
Other latin america,410.0129766,397.2876472,389.4689269,383.8977314,379.6055372,376.1341013,373.2316208,370.7454303,368.5762581,366.6560686,364.9362845,363.381062,361.9632307,360.6617245,359.4598953,358.3443678,357.304242,356.3305228,355.4157047,354.5534627,353.7384197,352.9659675,352.2321283,351.5334461,350.8668998,350.2298339,349.6199025,349.0350235,348.4733407,347.9331925,347.4130863,346.9116761,346.4277444,345.9601863,345.5079966,345.0702575,344.6461298,344.2348436,343.835691,343.4480201,343.0712288,342.7047605,342.3480989,342.0007651,341.6623133,341.3323285,341.0104234,340.6962361,340.389428,340.0896818,339.7966997,339.5102022,339.2299262,338.9556239,338.6870618,338.4240196,338.1662889,337.9136729,337.6659852,337.4230491,337.1846972,336.9507705,336.7211179,336.4955959,336.2740677,336.0564032,335.8424785,335.6321753,335.4253806,335.2219868,335.0218908
Middle east,365.5109419,352.7856125,344.9668923,339.3956968,335.1035025,331.6320667,328.7295861,326.2433957,324.0742234,322.154034,320.4342498,318.8790274,317.461196,316.1596899,314.9578607,313.8423332,312.8022074,311.8284882,310.9136701,310.0514281,309.2363851,308.4639328,307.7300937,307.0314115,306.3648651,305.7277992,305.1178679,304.5329889,303.971306,303.4311579,302.9110516,302.4096414,301.9257097,301.4581517,301.0059619,300.5682229,300.1440952,299.7328089,299.3336563,298.9459854,298.5691942,298.2027258,297.8460643,297.4987304,297.1602786,296.8302938,296.5083887,296.1942014,295.8873933,295.5876471,295.2946651,295.0081676,294.7278916,294.4535893,294.1850272,293.9219849,293.6642542,293.4116382,293.1639505,292.9210145,292.6826626,292.4487359,292.2190833,291.9935612,291.772033,291.5543686,291.3404439,291.1301406,290.923346,290.7199522,290.5198562
Other Asia pacific,386.5695299,373.8442005,366.0254803,360.4542848,356.1620905,352.6906547,349.7881741,347.3019836,345.1328114,343.212622,341.4928378,339.9376154,338.519784,337.2182779,336.0164486,334.9009212,333.8607953,332.8870762,331.972258,331.1100161,330.294973,329.5225208,328.7886817,328.0899995,327.4234531,326.7863872,326.1764558,325.5915769,325.029894,324.4897458,323.9696396,323.4682294,322.9842977,322.5167397,322.0645499,321.6268109,321.2026832,320.7913969,320.3922443,320.0045734,319.6277822,319.2613138,318.9046522,318.5573184,318.2188666,317.8888818,317.5669767,317.2527894,316.9459813,316.6462351,316.3532531,316.0667556,315.7864795,315.5121772,315.2436152,314.9805729,314.7228422,314.4702262,314.2225385,313.9796025,313.7412506,313.5073238,313.2776713,313.0521492,312.830621,312.6129566,312.3990319,312.1887286,311.981934,311.7785402,311.5784441
Argentina,398.6156367,385.8903073,378.0715871,372.5003916,368.2081973,364.7367615,361.8342809,359.3480905,357.1789182,355.2587288,353.5389446,351.9837222,350.5658909,349.2643847,348.0625555,346.947028,345.9069022,344.933183,344.0183649,343.1561229,342.3410799,341.5686276,340.8347885,340.1361063,339.4695599,338.832494,338.2225627,337.6376837,337.0760008,336.5358527,336.0157464,335.5143362,335.0304045,334.5628465,334.1106567,333.6729177,333.24879,332.8375037,332.4383511,332.0506802,331.673889,331.3074206,330.9507591,330.6034252,330.2649734,329.9349886,329.6130835,329.2988962,328.9920881,328.6923419,328.3993599,328.1128624,327.8325864,327.5582841,327.289722,327.0266797,326.768949,326.5163331,326.2686453,326.0257093,325.7873574,325.5534307,325.3237781,325.098256,324.8767278,324.6590634,324.4451387,324.2348354,324.0280408,323.824647,323.624551
Australia,407.9610922,395.2357628,387.4170426,381.8458471,377.5536528,374.082217,371.1797364,368.693546,366.5243737,364.6041843,362.8844001,361.3291777,359.9113463,358.6098402,357.4080109,356.2924835,355.2523577,354.2786385,353.3638204,352.5015784,351.6865354,350.9140831,350.180244,349.4815618,348.8150154,348.1779495,347.5680182,346.9831392,346.4214563,345.8813081,345.3612019,344.8597917,344.37586,343.908302,343.4561122,343.0183732,342.5942455,342.1829592,341.7838066,341.3961357,341.0193445,340.6528761,340.2962146,339.9488807,339.6104289,339.2804441,338.958539,338.6443517,338.3375436,338.0377974,337.7448154,337.4583179,337.1780418,336.9037396,336.6351775,336.3721352,336.1144045,335.8617885,335.6141008,335.3711648,335.1328129,334.8988862,334.6692336,334.4437115,334.2221833,334.0045189,333.7905942,333.5802909,333.3734963,333.1701025,332.9700064
Belgium,421.7474922,409.0221628,401.2034426,395.6322471,391.3400528,387.868617,384.9661364,382.4799459,380.3107737,378.3905843,376.6708001,375.1155777,373.6977463,372.3962402,371.1944109,370.0788835,369.0387576,368.0650385,367.1502203,366.2879784,365.4729353,364.7004831,363.966644,363.2679618,362.6014154,361.9643495,361.3544181,360.7695391,360.2078563,359.6677081,359.1476019,358.6461917,358.16226,357.6947019,357.2425122,356.8047732,356.3806455,355.9693592,355.5702066,355.1825357,354.8057445,354.4392761,354.0826145,353.7352807,353.3968289,353.0668441,352.744939,352.4307517,352.1239436,351.8241974,351.5312154,351.2447179,350.9644418,350.6901395,350.4215775,350.1585352,349.9008045,349.6481885,349.4005008,349.1575648,348.9192129,348.6852861,348.4556336,348.2301115,348.0085833,347.7909189,347.5769941,347.3666909,347.1598963,346.9565024,346.7564064
Brazil,381.6153203,368.8899909,361.0712706,355.5000751,351.2078809,347.736445,344.8339645,342.347774,340.1786018,338.2584123,336.5386282,334.9834057,333.5655744,332.2640683,331.062239,329.9467115,328.9065857,327.9328665,327.0180484,326.1558064,325.3407634,324.5683112,323.834472,323.1357898,322.4692435,321.8321776,321.2222462,320.6373672,320.0756844,319.5355362,319.01543,318.5140198,318.0300881,317.56253,317.1103403,316.6726012,316.2484735,315.8371873,315.4380347,315.0503638,314.6735725,314.3071042,313.9504426,313.6031088,313.264657,312.9346722,312.6127671,312.2985798,311.9917717,311.6920255,311.3990434,311.1125459,310.8322699,310.5579676,310.2894055,310.0263633,309.7686326,309.5160166,309.2683289,309.0253928,308.7870409,308.5531142,308.3234616,308.0979396,307.8764114,307.6587469,307.4448222,307.234519,307.0277243,306.8243305,306.6242345
Canada,421.6442883,408.9189589,401.1002387,395.5290432,391.2368489,387.7654131,384.8629325,382.3767421,380.2075698,378.2873804,376.5675962,375.0123738,373.5945424,372.2930363,371.091207,369.9756796,368.9355538,367.9618346,367.0470165,366.1847745,365.3697315,364.5972792,363.8634401,363.1647579,362.4982115,361.8611456,361.2512143,360.6663353,360.1046524,359.5645042,359.044398,358.5429878,358.0590561,357.5914981,357.1393083,356.7015693,356.2774416,355.8661553,355.4670027,355.0793318,354.7025406,354.3360722,353.9794107,353.6320768,353.293625,352.9636402,352.6417351,352.3275478,352.0207397,351.7209935,351.4280115,351.141514,350.8612379,350.5869357,350.3183736,350.0553313,349.7976006,349.5449846,349.2972969,349.0543609,348.816009,348.5820823,348.3524297,348.1269076,347.9053794,347.687715,347.4737903,347.263487,347.0566924,346.8532986,346.6532025
China,403.3874316,390.6621021,382.8433819,377.2721864,372.9799921,369.5085563,366.6060757,364.1198853,361.9507131,360.0305236,358.3107394,356.755517,355.3376857,354.0361795,352.8343503,351.7188228,350.678697,349.7049778,348.7901597,347.9279177,347.1128747,346.3404225,345.6065833,344.9079011,344.2413548,343.6042888,342.9943575,342.4094785,341.8477956,341.3076475,340.7875413,340.286131,339.8021993,339.3346413,338.8824515,338.4447125,338.0205848,337.6092985,337.210146,336.822475,336.4456838,336.0792154,335.7225539,335.37522,335.0367682,334.7067834,334.3848783,334.070691,333.7638829,333.4641367,333.1711547,332.8846572,332.6043812,332.3300789,332.0615168,331.7984745,331.5407439,331.2881279,331.0404402,330.7975041,330.5591522,330.3252255,330.0955729,329.8700508,329.6485226,329.4308582,329.2169335,329.0066303,328.7998356,328.5964418,328.3963458
Denmark,435.7216911,422.9963616,415.1776414,409.6064459,405.3142517,401.8428158,398.9403353,396.4541448,394.2849726,392.3647831,390.644999,389.0897765,387.6719452,386.370439,385.1686098,384.0530823,383.0129565,382.0392373,381.1244192,380.2621772,379.4471342,378.674682,377.9408428,377.2421606,376.5756143,375.9385484,375.328617,374.743738,374.1820552,373.641907,373.1218008,372.6203906,372.1364588,371.6689008,371.216711,370.778972,370.3548443,369.9435581,369.5444055,369.1567345,368.7799433,368.413475,368.0568134,367.7094795,367.3710278,367.041043,366.7191378,366.4049506,366.0981425,365.7983962,365.5054142,365.2189167,364.9386407,364.6643384,364.3957763,364.1327341,363.8750034,363.6223874,363.3746997,363.1317636,362.8934117,362.659485,362.4298324,362.2043104,361.9827822,361.7651177,361.551193,361.3408898,361.1340951,360.9307013,360.7306053
Egypt,365.5109419,352.7856125,344.9668923,339.3956968,335.1035025,331.6320667,328.7295861,326.2433957,324.0742234,322.154034,320.4342498,318.8790274,317.461196,316.1596899,314.9578607,313.8423332,312.8022074,311.8284882,310.9136701,310.0514281,309.2363851,308.4639328,307.7300937,307.0314115,306.3648651,305.7277992,305.1178679,304.5329889,303.971306,303.4311579,302.9110516,302.4096414,301.9257097,301.4581517,301.0059619,300.5682229,300.1440952,299.7328089,299.3336563,298.9459854,298.5691942,298.2027258,297.8460643,297.4987304,297.1602786,296.8302938,296.5083887,296.1942014,295.8873933,295.5876471,295.2946651,295.0081676,294.7278916,294.4535893,294.1850272,293.9219849,293.6642542,293.4116382,293.1639505,292.9210145,292.6826626,292.4487359,292.2190833,291.9935612,291.772033,291.5543686,291.3404439,291.1301406,290.923346,290.7199522,290.5198562
Finland,471.1008802,458.3755508,450.5568306,444.9856351,440.6934408,437.222005,434.3195244,431.833334,429.6641617,427.7439723,426.0241881,424.4689657,423.0511343,421.7496282,420.547799,419.4322715,418.3921457,417.4184265,416.5036084,415.6413664,414.8263234,414.0538711,413.320032,412.6213498,411.9548034,411.3177375,410.7078062,410.1229272,409.5612443,409.0210962,408.5009899,407.9995797,407.515648,407.04809,406.5959002,406.1581612,405.7340335,405.3227472,404.9235946,404.5359237,404.1591325,403.7926641,403.4360026,403.0886687,402.7502169,402.4202321,402.098327,401.7841397,401.4773316,401.1775854,400.8846034,400.5981059,400.3178299,400.0435276,399.7749655,399.5119232,399.2541925,399.0015765,398.7538888,398.5109528,398.2726009,398.0386742,397.8090216,397.5834995,397.3619713,397.1443069,396.9303822,396.7200789,396.5132843,396.3098905,396.1097945
France,416.8296079,404.1042785,396.2855583,390.7143628,386.4221685,382.9507327,380.0482521,377.5620617,375.3928894,373.4727,371.7529158,370.1976934,368.779862,367.4783559,366.2765267,365.1609992,364.1208734,363.1471542,362.2323361,361.3700941,360.5550511,359.7825988,359.0487597,358.3500775,357.6835311,357.0464652,356.4365339,355.8516549,355.289972,354.7498239,354.2297176,353.7283074,353.2443757,352.7768177,352.3246279,351.8868889,351.4627612,351.0514749,350.6523223,350.2646514,349.8878602,349.5213918,349.1647303,348.8173964,348.4789446,348.1489598,347.8270547,347.5128674,347.2060593,346.9063131,346.6133311,346.3268336,346.0465576,345.7722553,345.5036932,345.2406509,344.9829202,344.7303042,344.4826165,344.2396805,344.0013286,343.7674019,343.5377493,343.3122272,343.090699,342.8730346,342.6591099,342.4488066,342.242012,342.0386182,341.8385222
Germany,414.6191632,401.8938337,394.0751135,388.503918,384.2117237,380.7402879,377.8378073,375.3516169,373.1824447,371.2622552,369.542471,367.9872486,366.5694173,365.2679111,364.0660819,362.9505544,361.9104286,360.9367094,360.0218913,359.1596493,358.3446063,357.5721541,356.8383149,356.1396327,355.4730864,354.8360205,354.2260891,353.6412101,353.0795272,352.5393791,352.0192729,351.5178627,351.0339309,350.5663729,350.1141831,349.6764441,349.2523164,348.8410301,348.4418776,348.0542066,347.6774154,347.310947,346.9542855,346.6069516,346.2684998,345.938515,345.6166099,345.3024226,344.9956145,344.6958683,344.4028863,344.1163888,343.8361128,343.5618105,343.2932484,343.0302061,342.7724755,342.5198595,342.2721718,342.0292357,341.7908838,341.5569571,341.3273045,341.1017824,340.8802543,340.6625898,340.4486651,340.2383619,340.0315672,339.8281734,339.6280774
Iceland,480.8049674,468.079638,460.2609177,454.6897222,450.397528,446.9260921,444.0236116,441.5374211,439.3682489,437.4480595,435.7282753,434.1730528,432.7552215,431.4537154,430.2518861,429.1363586,428.0962328,427.1225137,426.2076955,425.3454536,424.5304105,423.7579583,423.0241191,422.3254369,421.6588906,421.0218247,420.4118933,419.8270143,419.2653315,418.7251833,418.2050771,417.7036669,417.2197352,416.7521771,416.2999874,415.8622483,415.4381206,415.0268344,414.6276818,414.2400109,413.8632196,413.4967513,413.1400897,412.7927559,412.4543041,412.1243193,411.8024142,411.4882269,411.1814188,410.8816726,410.5886906,410.3021931,410.021917,409.7476147,409.4790526,409.2160104,408.9582797,408.7056637,408.457976,408.2150399,407.976688,407.7427613,407.5131087,407.2875867,407.0660585,406.848394,406.6344693,406.4241661,406.2173715,406.0139776,405.8138816
India,368.8536828,356.1283534,348.3096331,342.7384376,338.4462434,334.9748075,332.072327,329.5861365,327.4169643,325.4967749,323.7769907,322.2217682,320.8039369,319.5024308,318.3006015,317.185074,316.1449482,315.171229,314.2564109,313.3941689,312.5791259,311.8066737,311.0728345,310.3741523,309.707606,309.0705401,308.4606087,307.8757297,307.3140469,306.7738987,306.2537925,305.7523823,305.2684506,304.8008925,304.3487028,303.9109637,303.486836,303.0755498,302.6763972,302.2887263,301.911935,301.5454667,301.1888051,300.8414713,300.5030195,300.1730347,299.8511296,299.5369423,299.2301342,298.930388,298.6374059,298.3509084,298.0706324,297.7963301,297.527768,297.2647258,297.0069951,296.7543791,296.5066914,296.2637553,296.0254034,295.7914767,295.5618241,295.3363021,295.1147739,294.8971094,294.6831847,294.4728815,294.2660869,294.062693,293.862597
Indonesia,374.494854,361.7695246,353.9508044,348.3796089,344.0874146,340.6159788,337.7134982,335.2273078,333.0581355,331.1379461,329.4181619,327.8629395,326.4451082,325.143602,323.9417728,322.8262453,321.7861195,320.8124003,319.8975822,319.0353402,318.2202972,317.4478449,316.7140058,316.0153236,315.3487772,314.7117113,314.10178,313.516901,312.9552181,312.41507,311.8949637,311.3935535,310.9096218,310.4420638,309.989874,309.552135,309.1280073,308.716721,308.3175684,307.9298975,307.5531063,307.1866379,306.8299764,306.4826425,306.1441907,305.8142059,305.4923008,305.1781135,304.8713054,304.5715592,304.2785772,303.9920797,303.7118037,303.4375014,303.1689393,302.905897,302.6481663,302.3955504,302.1478626,301.9049266,301.6665747,301.432648,301.2029954,300.9774733,300.7559451,300.5382807,300.324356,300.1140527,299.9072581,299.7038643,299.5037683
